Student Number ,Section,Age,Gender,City Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12 OR 4th year high school,General Weighted Average(GWA) - College 1st year 1st Semester,General Weighted Average(GWA) - College 1st year 2nd Semester,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
21-00752,BSIT-1B,21,Male,Pasig,"19,041.00 - 38,080.00",Pasig City Science High School,STEM,85 - 89,1.49 - 1.00,1.99  - 1.50,Yes,
21-00697,BSIT-1C,19,Male,Pasig,"below 9,520.00",San Joaquin - Kalawaan High School,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00376 ,BSIT-1B,18,Female,Pasig,"below 9,520.00",Arellano University - Andres Bonifacio Campus,STEM,96 and above,1.49 - 1.00,1.99  - 1.50,No,
21-01108,BSIT-1A,21,Male,Pasig,"below 9,520.00",San Joaquin - Kalawaan High School,4th year high school,90 - 95,1.49 - 1.00,2.49 - 2.00,No,
21-00993,BSIT-1C,19,Male,others,"9,520.00 - 19,040.00",Arellano University - Andres Bonifacio Campus,TVL,85 - 89,1.99  - 1.50,2.50 - 3.00,No,
21-00571,BSIT-1B,18,Female,Pasig,"below 9,520.00",RTU,STEM,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-00544,BSIT-1B,18,Female,Pasig,"19,041.00 - 38,080.00",San Lorenzo Ruiz Senior High School,STEM,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
2100609,BSIT-1B,20,Female,Pasig,"9,520.00 - 19,040.00",Kapitolyo High School,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,Yes,
21-00680,BSIT-1C,19,Male,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,No,
21-00437,BSIT-1B,18,Male,Pasig,"below 9,520.00",Buting High School,TVL,90 - 95,1.99  - 1.50,below 3.00,No,
